2020-07-31 16:37:35 install libdebconfclient0:arm64 <none> 0.251ubuntu1
2020-07-31 16:37:35 status half-installed libdebconfclient0:arm64 0.251ubuntu1
2020-07-31 16:37:35 status unpacked libdebconfclient0:arm64 0.251ubuntu1
2020-07-31 16:37:35 install libext2fs2:arm64 <none> 1.45.5-2ubuntu1
2020-07-31 16:37:35 status half-installed libext2fs2:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:35 status unpacked libext2fs2:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:35 install libfdisk1:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:35 status half-installed libfdisk1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:35 status unpacked libfdisk1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:35 install libgcc-s1:arm64 <none> 10-20200411-0ubuntu1
2020-07-31 16:37:35 status half-installed libgcc-s1:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:35 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:35 install libgcrypt20:arm64 <none> 1.8.5-5ubuntu1
2020-07-31 16:37:35 status half-installed libgcrypt20:arm64 1.8.5-5ubuntu1
2020-07-31 16:37:36 status unpacked libgcrypt20:arm64 1.8.5-5ubuntu1
2020-07-31 16:37:36 install libgpg-error0:arm64 <none> 1.37-1
2020-07-31 16:37:36 status half-installed libgpg-error0:arm64 1.37-1
2020-07-31 16:37:36 status unpacked libgpg-error0:arm64 1.37-1
2020-07-31 16:37:36 install liblz4-1:arm64 <none> 1.9.2-2
2020-07-31 16:37:36 status half-installed liblz4-1:arm64 1.9.2-2
2020-07-31 16:37:36 status unpacked liblz4-1:arm64 1.9.2-2
2020-07-31 16:37:36 install liblzma5:arm64 <none> 5.2.4-1
2020-07-31 16:37:36 status half-installed liblzma5:arm64 5.2.4-1
2020-07-31 16:37:36 status unpacked liblzma5:arm64 5.2.4-1
2020-07-31 16:37:36 install libmount1:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:36 status half-installed libmount1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:36 status unpacked libmount1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:36 install libncurses6:arm64 <none> 6.2-0ubuntu2
2020-07-31 16:37:36 status half-installed libncurses6:arm64 6.2-0ubuntu2
2020-07-31 16:37:36 status unpacked libncurses6:arm64 6.2-0ubuntu2
2020-07-31 16:37:36 install libncursesw6:arm64 <none> 6.2-0ubuntu2
2020-07-31 16:37:36 status half-installed libncursesw6:arm64 6.2-0ubuntu2
2020-07-31 16:37:36 status unpacked libncursesw6:arm64 6.2-0ubuntu2
2020-07-31 16:37:37 install libpam-modules:arm64 <none> 1.3.1-5ubuntu4
2020-07-31 16:37:37 status half-installed libpam-modules:arm64 1.3.1-5ubuntu4
2020-07-31 16:37:37 status unpacked libpam-modules:arm64 1.3.1-5ubuntu4
2020-07-31 16:37:37 install libpam-modules-bin:arm64 <none> 1.3.1-5ubuntu4
2020-07-31 16:37:37 status half-installed libpam-modules-bin:arm64 1.3.1-5ubuntu4
2020-07-31 16:37:37 status unpacked libpam-modules-bin:arm64 1.3.1-5ubuntu4
2020-07-31 16:37:38 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-07-31 16:37:38 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-07-31 16:37:38 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-07-31 16:37:38 install libpam0g:arm64 <none> 1.3.1-5ubuntu4
2020-07-31 16:37:38 status half-installed libpam0g:arm64 1.3.1-5ubuntu4
2020-07-31 16:37:38 status unpacked libpam0g:arm64 1.3.1-5ubuntu4
2020-07-31 16:37:38 install libpcre2-8-0:arm64 <none> 10.34-7
2020-07-31 16:37:38 status half-installed libpcre2-8-0:arm64 10.34-7
2020-07-31 16:37:38 status unpacked libpcre2-8-0:arm64 10.34-7
2020-07-31 16:37:38 install libpcre3:arm64 <none> 2:8.39-12build1
2020-07-31 16:37:38 status half-installed libpcre3:arm64 2:8.39-12build1
2020-07-31 16:37:38 status unpacked libpcre3:arm64 2:8.39-12build1
2020-07-31 16:37:38 install libprocps8:arm64 <none> 2:3.3.16-1ubuntu2
2020-07-31 16:37:38 status half-installed libprocps8:arm64 2:3.3.16-1ubuntu2
2020-07-31 16:37:38 status unpacked libprocps8:arm64 2:3.3.16-1ubuntu2
2020-07-31 16:37:38 install libselinux1:arm64 <none> 3.0-1build2
2020-07-31 16:37:38 status half-installed libselinux1:arm64 3.0-1build2
2020-07-31 16:37:38 status unpacked libselinux1:arm64 3.0-1build2
2020-07-31 16:37:39 install libsemanage-common:all <none> 3.0-1build2
2020-07-31 16:37:39 status half-installed libsemanage-common:all 3.0-1build2
2020-07-31 16:37:39 status unpacked libsemanage-common:all 3.0-1build2
2020-07-31 16:37:39 install libsemanage1:arm64 <none> 3.0-1build2
2020-07-31 16:37:39 status half-installed libsemanage1:arm64 3.0-1build2
2020-07-31 16:37:39 status unpacked libsemanage1:arm64 3.0-1build2
2020-07-31 16:37:39 install libsepol1:arm64 <none> 3.0-1
2020-07-31 16:37:39 status half-installed libsepol1:arm64 3.0-1
2020-07-31 16:37:39 status unpacked libsepol1:arm64 3.0-1
2020-07-31 16:37:39 install libsmartcols1:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:39 status half-installed libsmartcols1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:39 status unpacked libsmartcols1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:39 install libss2:arm64 <none> 1.45.5-2ubuntu1
2020-07-31 16:37:39 status half-installed libss2:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:39 status unpacked libss2:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:39 install libsystemd0:arm64 <none> 245.4-4ubuntu3
2020-07-31 16:37:39 status half-installed libsystemd0:arm64 245.4-4ubuntu3
2020-07-31 16:37:40 status unpacked libsystemd0:arm64 245.4-4ubuntu3
2020-07-31 16:37:40 install libtinfo6:arm64 <none> 6.2-0ubuntu2
2020-07-31 16:37:40 status half-installed libtinfo6:arm64 6.2-0ubuntu2
2020-07-31 16:37:40 status unpacked libtinfo6:arm64 6.2-0ubuntu2
2020-07-31 16:37:40 install libudev1:arm64 <none> 245.4-4ubuntu3
2020-07-31 16:37:40 status half-installed libudev1:arm64 245.4-4ubuntu3
2020-07-31 16:37:40 status unpacked libudev1:arm64 245.4-4ubuntu3
2020-07-31 16:37:40 install libuuid1:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:40 status half-installed libuuid1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:40 status unpacked libuuid1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:40 install libzstd1:arm64 <none> 1.4.4+dfsg-3
2020-07-31 16:37:40 status half-installed libzstd1:arm64 1.4.4+dfsg-3
2020-07-31 16:37:40 status unpacked libzstd1:arm64 1.4.4+dfsg-3
2020-07-31 16:37:40 install login:arm64 <none> 1:4.8.1-1ubuntu5
2020-07-31 16:37:40 status half-installed login:arm64 1:4.8.1-1ubuntu5
2020-07-31 16:37:40 status unpacked login:arm64 1:4.8.1-1ubuntu5
2020-07-31 16:37:40 install logsave:arm64 <none> 1.45.5-2ubuntu1
2020-07-31 16:37:40 status half-installed logsave:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:40 status unpacked logsave:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:41 install lsb-base:all <none> 11.1.0ubuntu2
2020-07-31 16:37:41 status half-installed lsb-base:all 11.1.0ubuntu2
2020-07-31 16:37:41 status unpacked lsb-base:all 11.1.0ubuntu2
2020-07-31 16:37:41 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2020-07-31 16:37:41 status half-configured mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:41 status unpacked mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:41 status half-installed mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:41 status unpacked mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:41 install mount:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:41 status half-installed mount:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:41 status unpacked mount:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:41 install ncurses-base:all <none> 6.2-0ubuntu2
2020-07-31 16:37:41 status half-installed ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:37:41 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:37:41 install ncurses-bin:arm64 <none> 6.2-0ubuntu2
2020-07-31 16:37:41 status half-installed ncurses-bin:arm64 6.2-0ubuntu2
2020-07-31 16:37:41 status unpacked ncurses-bin:arm64 6.2-0ubuntu2
2020-07-31 16:37:41 install passwd:arm64 <none> 1:4.8.1-1ubuntu5
2020-07-31 16:37:41 status half-installed passwd:arm64 1:4.8.1-1ubuntu5
2020-07-31 16:37:42 status unpacked passwd:arm64 1:4.8.1-1ubuntu5
2020-07-31 16:37:42 upgrade perl-base:arm64 5.30.0-9build1 5.30.0-9build1
2020-07-31 16:37:42 status half-configured perl-base:arm64 5.30.0-9build1
2020-07-31 16:37:42 status unpacked perl-base:arm64 5.30.0-9build1
2020-07-31 16:37:43 status half-installed perl-base:arm64 5.30.0-9build1
2020-07-31 16:37:44 status unpacked perl-base:arm64 5.30.0-9build1
2020-07-31 16:37:44 install procps:arm64 <none> 2:3.3.16-1ubuntu2
2020-07-31 16:37:44 status half-installed procps:arm64 2:3.3.16-1ubuntu2
2020-07-31 16:37:44 status unpacked procps:arm64 2:3.3.16-1ubuntu2
2020-07-31 16:37:44 install sed:arm64 <none> 4.7-1
2020-07-31 16:37:44 status half-installed sed:arm64 4.7-1
2020-07-31 16:37:44 status unpacked sed:arm64 4.7-1
2020-07-31 16:37:44 install sensible-utils:all <none> 0.0.12+nmu1
2020-07-31 16:37:44 status half-installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:37:44 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:37:44 install sysvinit-utils:arm64 <none> 2.96-2.1ubuntu1
2020-07-31 16:37:45 status half-installed sysvinit-utils:arm64 2.96-2.1ubuntu1
2020-07-31 16:37:45 status unpacked sysvinit-utils:arm64 2.96-2.1ubuntu1
2020-07-31 16:37:45 install tar:arm64 <none> 1.30+dfsg-7
2020-07-31 16:37:45 status half-installed tar:arm64 1.30+dfsg-7
2020-07-31 16:37:45 status unpacked tar:arm64 1.30+dfsg-7
2020-07-31 16:37:45 install util-linux:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:45 status half-installed util-linux:arm64 2.34-0.1ubuntu9
